timestamp_ns,trajectory_id,sample_index,control_dt_s,force_raw_n,torque_actual_nm,torque_command_prev_nm,torque_command_issued_nm,motor_position_rad,force_reference_n,imu_valid,tension_sensor_valid,saturation_flag,emergency_flag,data_valid_flag,velocity_command_0,velocity_command_1,velocity_command_2,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,policy_action_7,policy_action_8,policy_action_9,policy_action_10,policy_action_11,policy_action_12,policy_action_13,policy_action_14,policy_action_15,policy_action_16,policy_action_17,joint_position_0,joint_position_1,joint_position_2,joint_position_3,joint_position_4,joint_position_5,joint_position_6,joint_position_7,joint_position_8,joint_position_9,joint_position_10,joint_position_11,joint_position_12,joint_position_13,joint_position_14,joint_position_15,joint_position_16,joint_position_17,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_velocity_7,joint_velocity_8,joint_velocity_9,joint_velocity_10,joint_velocity_11,joint_velocity_12,joint_velocity_13,joint_velocity_14,joint_velocity_15,joint_velocity_16,joint_velocity_17,body_gravity_vector_0,body_gravity_vector_1,body_gravity_vector_2,body_angular_velocity_0,body_angular_velocity_1,body_angular_velocity_2,body_linear_velocity_0,body_linear_velocity_1,body_linear_velocity_2,body_linear_acceleration_0,body_linear_acceleration_1,body_linear_acceleration_2
6372713818384,hexapod_20260918_140632,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.011335387825965881,-0.0546162948012352,-0.06684185564517975,-0.021865982562303543,-0.2146426886320114,-0.05544136464595795,0.003842012956738472,-0.0868106484413147,-0.05001845955848694,0.056952204555273056,0.1930123120546341,0.05246618390083313,-0.016950422897934914,0.04390346631407738,-0.004723984748125076,-0.07250279933214188,0.18171009421348572,0.028849948197603226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372733987128,hexapod_20260918_140632,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.037881333380937576,-0.02729939855635166,-0.10743063688278198,-0.025806229561567307,-0.2774098515510559,-0.08801241964101791,-0.011951923370361328,-0.08519354462623596,-0.07351282984018326,0.06313750147819519,0.20400168001651764,0.11043281853199005,-0.02329699695110321,0.014605840668082237,-0.0004571862518787384,-0.09053388983011246,0.2089518904685974,-0.0005708532407879829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372754059842,hexapod_20260918_140632,2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05116836354136467,-0.0235204566270113,-0.1100597083568573,-0.03269204869866371,-0.2638294994831085,-0.096649669110775,-0.0075171226635575294,-0.09920398145914078,-0.0914440006017685,0.06674311310052872,0.20178040862083435,0.13632328808307648,-0.024576280266046524,0.014310367405414581,-0.007849466055631638,-0.09847572445869446,0.21374225616455078,-0.025195177644491196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372774215579,hexapod_20260918_140632,3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05627255514264107,-0.029201718047261238,-0.10940124839544296,-0.03579975292086601,-0.24312889575958252,-0.10611288994550705,-0.004534597508609295,-0.11749381572008133,-0.09824108332395554,0.06384043395519257,0.1944703608751297,0.1460828185081482,-0.02469642087817192,0.023090796545147896,-0.01906466856598854,-0.10124006867408752,0.21025270223617554,-0.03621289134025574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372794273061,hexapod_20260918_140632,4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05848640576004982,-0.036708518862724304,-0.10991786420345306,-0.03676411882042885,-0.2260175496339798,-0.11409027129411697,-0.003331264480948448,-0.13318100571632385,-0.10054748505353928,0.059199009090662,0.1875414103269577,0.1494666337966919,-0.024597473442554474,0.03269319236278534,-0.029815901070833206,-0.10268528014421463,0.20452290773391724,-0.03982235863804817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372814465333,hexapod_20260918_140632,5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.059408437460660934,-0.04297303408384323,-0.11086534708738327,-0.036814820021390915,-0.21409812569618225,-0.11968032270669937,-0.002978352829813957,-0.1446443796157837,-0.10138377547264099,0.05512247234582901,0.18256723880767822,0.1503996104001999,-0.024310149252414703,0.040343642234802246,-0.03801101818680763,-0.10361792147159576,0.19961556792259216,-0.04024948179721832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372834615760,hexapod_20260918_140632,6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05976371094584465,-0.04729853570461273,-0.11174676567316055,-0.03657316789031029,-0.20659923553466797,-0.12325020879507065,-0.00296807661652565,-0.15217620134353638,-0.10178715735673904,0.05221999064087868,0.17940284311771393,0.15045107901096344,-0.023962970823049545,0.04557570442557335,-0.04344811663031578,-0.10422169417142868,0.19618985056877136,-0.03959481790661812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372854678230,hexapod_20260918_140632,7,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05989919230341911,-0.04999507963657379,-0.11239981651306152,-0.03630978241562843,-0.20215879380702972,-0.12541112303733826,-0.0030663739889860153,-0.15678322315216064,-0.10204645991325378,0.05037177354097366,0.1775214523077011,0.15025611221790314,-0.02367015928030014,0.0488482266664505,-0.04675733670592308,-0.10459358990192413,0.1940259337425232,-0.038789574056863785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372874846020,hexapod_20260918_140632,8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05995543673634529,-0.05157947540283203,-0.11282803863286972,-0.036108601838350296,-0.19962412118911743,-0.12667618691921234,-0.0031727049499750137,-0.15947261452674866,-0.10222768038511276,0.049269601702690125,0.17644597589969635,0.15004965662956238,-0.02346562221646309,0.05078619346022606,-0.04866762086749077,-0.10481275618076324,0.19273629784584045,-0.03814951330423355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372895011930,hexapod_20260918_140632,9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05998195335268974,-0.052478887140750885,-0.1130896657705307,-0.03597525134682655,-0.19821105897426605,-0.12739913165569305,-0.003254322335124016,-0.16099587082862854,-0.10234704613685608,0.04863821715116501,0.17584599554538727,0.14989659190177917,-0.023338038474321365,0.051893576979637146,-0.04973835498094559,-0.1049385592341423,0.1919967532157898,-0.03772091865539551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
