timestamp_ns,trajectory_id,sample_index,control_dt_s,force_raw_n,torque_actual_nm,torque_command_prev_nm,torque_command_issued_nm,motor_position_rad,force_reference_n,imu_valid,tension_sensor_valid,saturation_flag,emergency_flag,data_valid_flag,velocity_command_0,velocity_command_1,velocity_command_2,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,policy_action_7,policy_action_8,policy_action_9,policy_action_10,policy_action_11,policy_action_12,policy_action_13,policy_action_14,policy_action_15,policy_action_16,policy_action_17,joint_position_0,joint_position_1,joint_position_2,joint_position_3,joint_position_4,joint_position_5,joint_position_6,joint_position_7,joint_position_8,joint_position_9,joint_position_10,joint_position_11,joint_position_12,joint_position_13,joint_position_14,joint_position_15,joint_position_16,joint_position_17,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_velocity_7,joint_velocity_8,joint_velocity_9,joint_velocity_10,joint_velocity_11,joint_velocity_12,joint_velocity_13,joint_velocity_14,joint_velocity_15,joint_velocity_16,joint_velocity_17,body_gravity_vector_0,body_gravity_vector_1,body_gravity_vector_2,body_angular_velocity_0,body_angular_velocity_1,body_angular_velocity_2,body_linear_acceleration_0,body_linear_acceleration_1,body_linear_acceleration_2
4702936604901,hexapod_20260804_113739_384080,0,0.02,1.1301364370207738,-0.030769230891019107,0.0,8.293885014733362,-7.8093767166137695,94.8674087524414,1,1,0,0,1,0.0,0.0,0.0,0.0967756062746048,-0.05097278952598572,-0.039601974189281464,-0.03609716519713402,-0.11174295842647552,0.050547920167446136,-0.09351582825183868,0.018558211624622345,0.020708177238702774,0.053165003657341,0.13194552063941956,0.05339430272579193,0.016781192272901535,0.0765012577176094,0.0017660970333963633,0.11397165060043335,0.08435884118080139,-0.06174800917506218,-0.01735713705420494,0.0228884220123291,-0.06027299165725708,0.05283436179161072,0.059891700744628906,-0.02288830280303955,-0.1340886503458023,0.09651288390159607,0.021743834018707275,0.08144503086805344,-0.0629432201385498,0.018311262130737305,-0.002861066721379757,-0.04158112406730652,0.004577755928039551,0.06084534898400307,-0.052643537521362305,-0.13733136653900146,-0.004395604599267244,-0.004395604599267244,0.004395604599267244,-0.013186813332140446,0.004395604599267244,-0.004395604599267244,-0.004395604599267244,0.004395604599267244,0.013186813332140446,0.021978022530674934,0.004395604599267244,0.013186813332140446,-0.021978022530674934,0.013186813332140446,-0.004395604599267244,-0.004395604599267244,0.013186813332140446,0.004395604599267244,-0.1713491976261139,-0.39040407538414,-0.9045574069023132,0.0007024123333394527,0.00045913379290141165,5.6796783610479906e-05,4.205800533294678,0.0019108690321445465,8.879659652709961
4702956669203,hexapod_20260804_113739_384080,1,0.02,1.2578239862525091,4.338461780548096,8.293885014733362,8.28910549941497,-7.808995246887207,94.8341293334961,1,1,0,0,1,0.0,0.0,0.0,0.10619958490133286,-0.056703321635723114,-0.04282210394740105,-0.03256405144929886,-0.0931796282529831,0.05664630979299545,-0.08676257729530334,0.015125419944524765,0.029040813446044922,0.04803299158811569,0.12300731241703033,0.055691950023174286,0.0120169036090374,0.08763375133275986,-0.00038134935311973095,0.11740505695343018,0.0813697874546051,-0.06755337119102478,-0.016975661739706993,0.0225069522857666,-0.06065446138381958,0.05283436179161072,0.059510231018066406,-0.02250683307647705,-0.134470134973526,0.09689435362815857,0.021743834018707275,0.08182650804519653,-0.0625617504119873,0.018692731857299805,-0.002861066721379757,-0.04119962453842163,0.004577755928039551,0.06160829961299896,-0.052643537521362305,-0.13809430599212646,0.18021978437900543,-0.06593406945466995,-0.17142857611179352,-0.021978022530674934,-0.19780220091342926,0.10989011079072952,-0.2945055067539215,0.18901099264621735,0.05714285746216774,0.1626373678445816,0.23296703398227692,0.0923076942563057,0.03076923079788685,0.13626374304294586,-0.013186813332140446,0.26813188195228577,0.10989011079072952,-0.25054946541786194,-0.1713561713695526,-0.3904067873954773,-0.9045549035072327,-0.0017738002352416515,0.009846491739153862,0.002163373865187168,3.3655569553375244,-0.27595019340515137,8.701037406921387
4702976730095,hexapod_20260804_113739_384080,2,0.02,1.132930478971461,5.446154022216797,8.28910549941497,8.307190202555844,-7.787250995635986,95.01976013183594,1,1,0,0,1,0.0,0.0,0.0,0.10470312088727951,-0.06203589588403702,-0.041349250823259354,-0.03036743961274624,-0.09271323680877686,0.050953008234500885,-0.08204765617847443,0.008653346449136734,0.031101543456315994,0.04183957725763321,0.1023668423295021,0.04298973083496094,0.010247442871332169,0.08657706528902054,-0.007327193394303322,0.11685705184936523,0.09066285192966461,-0.06889394670724869,-0.006294346414506435,0.02098095417022705,-0.06561362743377686,0.05092698708176613,0.052262187004089355,-0.012969970703125,-0.15354390442371368,0.10490533709526062,0.02632153034210205,0.09174486994743347,-0.0514988899230957,0.025559186935424805,-0.00019073777366429567,-0.03204423189163208,0.004577755928039551,0.07953765243291855,-0.051117658615112305,-0.14534235000610352,0.7164835333824158,0.03076923079788685,-0.03076923079788685,-0.11868131905794144,-0.03956044092774391,0.5406593680381775,-1.085714340209961,0.4879120886325836,0.26813188195228577,0.6285714507102966,0.5318681597709656,0.4879120886325836,0.18021978437900543,0.49670329689979553,-0.03076923079788685,1.279120922088623,-0.03076923079788685,-0.013186813332140446,-0.17064425349235535,-0.39093688130378723,-0.9044605493545532,0.10533621907234192,-0.05353296920657158,-0.013660321943461895,2.732966423034668,0.5240789651870728,10.616608619689941
4702996787908,hexapod_20260804_113739_384080,3,0.02,11.893141768569935,6.123077058792115,8.307190202555844,8.506917826712082,-7.731936931610107,99.09312438964844,1,1,0,0,1,0.0,0.0,0.0,0.1002318263053894,-0.06478714942932129,-0.03574139252305031,-0.020624691620469093,-0.09406256675720215,0.046288035809993744,-0.0874711275100708,0.006661937106400728,0.027703609317541122,0.03863851726055145,0.0801597461104393,0.03778156638145447,0.009397421032190323,0.08827382326126099,-0.008158107288181782,0.1180320680141449,0.09585443139076233,-0.06475464254617691,0.007057297509163618,0.02059948444366455,-0.06370627880096436,0.04940108209848404,0.056076884269714355,-0.010681092739105225,-0.16880293190479279,0.11139041185379028,0.031280696392059326,0.10166323184967041,-0.0457768440246582,0.027085304260253906,0.002861066721379757,-0.021362900733947754,0.0026702880859375,0.10471503436565399,-0.047684431076049805,-0.14496088027954102,0.5670329928398132,-0.05714285746216774,0.224175825715065,-0.021978022530674934,0.25054946541786194,-0.13626374304294586,-0.18901099264621735,0.24175824224948883,0.18021978437900543,0.2153846174478531,0.43516483902931213,-0.224175825715065,0.17142857611179352,0.4791208803653717,-0.2153846174478531,1.0505495071411133,0.4703296720981598,-0.004395604599267244,-0.16867822408676147,-0.39329251646995544,-0.9038078784942627,0.12341143935918808,-0.07901515811681747,0.01301820483058691,3.180746078491211,0.9678425788879395,8.933782577514648
4703016845245,hexapod_20260804_113739_384080,4,0.02,20.128810565125157,6.676923179626465,8.506917826712082,8.551513860378078,-7.646486759185791,100.97482299804688,1,1,0,0,1,0.0,0.0,0.0,0.09835834056138992,-0.06932344287633896,-0.03139735013246536,-0.008526325225830078,-0.08844761550426483,0.041128113865852356,-0.08896264433860779,0.003839817363768816,0.02535082772374153,0.03355704993009567,0.07314380258321762,0.037607185542583466,0.005572233349084854,0.09287894517183304,-0.008479725569486618,0.11685904860496521,0.09444993734359741,-0.06109439954161644,0.01583123579621315,0.01831066608428955,-0.057602643966674805,0.048638131469488144,0.058747172355651855,-0.010681092739105225,-0.16384375095367432,0.11253485083580017,0.0324251651763916,0.10166323184967041,-0.0335695743560791,0.021744489669799805,0.007438773289322853,-0.012588977813720703,-0.004196286201477051,0.11654078215360641,-0.0377659797668457,-0.14343500137329102,0.2945055067539215,-0.12747253477573395,0.2769230902194977,-0.07472527772188187,0.03076923079788685,0.06593406945466995,0.6725274920463562,-0.03076923079788685,-0.013186813332140446,-0.07472527772188187,0.49670329689979553,-0.2769230902194977,0.23296703398227692,0.3648351728916168,-0.3560439646244049,0.1626373678445816,0.43516483902931213,0.24175824224948883,-0.1671873778104782,-0.3948090374469757,-0.9034236073493958,0.09177109599113464,-0.015091734938323498,0.027944734320044518,2.806410074234009,0.6398589015007019,9.321890830993652
4703036904402,hexapod_20260804_113739_384080,5,0.02,14.94786958656432,6.246153974533081,8.551513860378078,8.426568895173856,-7.530518054962158,98.68502044677734,1,1,0,0,1,0.0,0.0,0.0,0.1000269204378128,-0.07035771012306213,-0.0289110466837883,-0.004906736314296722,-0.0850716084241867,0.03858470171689987,-0.08352651447057724,-2.6670750230550766e-05,0.02351491153240204,0.02725752256810665,0.07131822407245636,0.035194188356399536,0.006935078650712967,0.09694822877645493,-0.009445684030652046,0.10956069082021713,0.09627482295036316,-0.059724293649196625,0.016212711110711098,0.01678478717803955,-0.049591660499572754,0.04596780240535736,0.058747172355651855,-0.008010804653167725,-0.15888457000255585,0.11100894212722778,0.030899226665496826,0.1031891331076622,-0.02937328815460205,0.020981550216674805,0.01201647985726595,-0.0038150250911712646,-0.00915539264678955,0.11387044936418533,-0.030899524688720703,-0.13847589492797852,-0.1538461595773697,-0.0923076942563057,0.26813188195228577,-0.224175825715065,0.004395604599267244,0.25054946541786194,-0.07472527772188187,0.004395604599267244,-0.17142857611179352,0.18901099264621735,0.17142857611179352,0.12747253477573395,0.37362638115882874,0.43516483902931213,-0.11868131905794144,-0.25054946541786194,0.4000000059604645,0.17142857611179352,-0.1656380146741867,-0.39598366618156433,-0.9031949043273926,0.06496716290712357,-0.046223968267440796,0.04156225174665451,3.173330068588257,0.35403239727020264,8.5973482131958
4703056964314,hexapod_20260804_113739_384080,6,0.02,44.21130935780989,7.723076963424683,8.426568895173856,8.391273727370116,-7.38899040222168,103.15934753417969,1,1,0,0,1,0.0,0.0,0.0,0.09508796781301498,-0.07363209873437881,-0.02495034970343113,-0.0061296820640563965,-0.09091503918170929,0.03481806814670563,-0.08223475515842438,-0.003577259834855795,0.02186204120516777,0.025436995550990105,0.07158495485782623,0.03020692802965641,0.012000586837530136,0.10199645906686783,-0.009798104874789715,0.09552836418151855,0.10024358332157135,-0.05433720350265503,0.014686808921396732,0.012969970703125,-0.0423436164855957,0.04177157208323479,0.058747172355651855,-0.004196047782897949,-0.1653696447610855,0.11100894212722778,0.02708446979522705,0.10662241280078888,-0.02365124225616455,0.022888898849487305,0.02040894143283367,0.0022885799407958984,-0.00877392292022705,0.11158160120248795,-0.026321887969970703,-0.13771283626556396,-0.013186813332140446,-0.23296703398227692,0.3560439646244049,-0.2153846174478531,0.004395604599267244,0.14505495131015778,-0.4615384638309479,-0.004395604599267244,-0.1626373678445816,0.03956044092774391,0.32087913155555725,0.03076923079788685,0.4263736307621002,0.14505495131015778,-0.021978022530674934,0.03076923079788685,0.05714285746216774,0.013186813332140446,-0.1650589555501938,-0.39735883474349976,-0.9026968479156494,0.04693149775266647,-0.05137787386775017,0.05135747417807579,4.711641788482666,0.4409742057323456,7.891992568969727
4703077011994,hexapod_20260804_113739_384080,7,0.02,85.4125453047752,8.7692307472229,8.391273727370116,8.374018833789538,-7.235256195068359,109.8292465209961,1,1,0,0,1,0.0,0.0,0.0,0.0843329206109047,-0.0763394683599472,-0.018292956054210663,-0.009836649522185326,-0.10084427893161774,0.03080284595489502,-0.08690590411424637,-0.004182781558483839,0.018920976668596268,0.026330100372433662,0.07737051695585251,0.022611023858189583,0.018934156745672226,0.09931477159261703,-0.00924323033541441,0.08122901618480682,0.10503064095973969,-0.04795742407441139,0.014686808921396732,0.009918212890625,-0.03471410274505615,0.0394827201962471,0.058747172355651855,-0.0015257000923156738,-0.17261768877506256,0.11139041185379028,0.024032652378082275,0.10662241280078888,-0.0179290771484375,0.023270368576049805,0.02841992862522602,0.004577428102493286,-0.00877392292022705,0.11615930497646332,-0.025940418243408203,-0.13809430599212646,-0.004395604599267244,-0.13626374304294586,0.3032967150211334,-0.05714285746216774,-0.013186813332140446,0.11868131905794144,-0.2769230902194977,0.03076923079788685,-0.13626374304294586,-0.013186813332140446,0.20659340918064117,0.013186813332140446,0.37362638115882874,0.0923076942563057,-0.004395604599267244,0.25054946541786194,0.004395604599267244,-0.004395604599267244,-0.16481474041938782,-0.39836519956588745,-0.9022977948188782,0.006236317101866007,-0.06390625983476639,0.05730608478188515,5.445214748382568,0.2729526460170746,8.544634819030762
4703097068018,hexapod_20260804_113739_384080,8,0.02,123.44489075580508,9.630769157409668,8.374018833789538,8.449159080505371,-7.084191799163818,115.74190521240234,1,1,0,0,1,0.0,0.0,0.0,0.072817362844944,-0.0766180157661438,-0.01317828893661499,-0.011737780645489693,-0.11326686292886734,0.02688496559858322,-0.09224280714988708,-0.001255642157047987,0.017284028232097626,0.03181040659546852,0.08844051510095596,0.017687154933810234,0.023813653737306595,0.09364370256662369,-0.007931382395327091,0.072426937520504,0.1024332344532013,-0.041481971740722656,0.01506828423589468,0.00762939453125,-0.029754936695098877,0.03833829239010811,0.057221293449401855,0.0015261173248291016,-0.17299915850162506,0.11139041185379028,0.021743834018707275,0.10662241280078888,-0.016021728515625,0.023270368576049805,0.03528648987412453,0.005340367555618286,-0.00839245319366455,0.12226291000843048,-0.025940418243408203,-0.13847589492797852,0.013186813332140446,-0.13626374304294586,0.2769230902194977,-0.08351648598909378,-0.10109890252351761,0.19780220091342926,0.06593406945466995,-0.004395604599267244,-0.13626374304294586,-0.004395604599267244,0.03956044092774391,0.013186813332140446,0.19780220091342926,-0.021978022530674934,0.03956044092774391,0.2769230902194977,0.03076923079788685,-0.013186813332140446,-0.16525450348854065,-0.399168998003006,-0.9018620252609253,0.0018736252095550299,-0.028728030622005463,0.04440673813223839,6.328408241271973,-0.14408262073993683,8.357136726379395
4703117123982,hexapod_20260804_113739_384080,9,0.02,150.03932243942054,9.692307615280152,8.449159080505371,8.256806590016295,-6.948386192321777,119.26233673095703,1,1,0,0,1,0.0,0.0,0.0,0.0650535300374031,-0.0750112384557724,-0.010639430955052376,-0.016799094155430794,-0.12587621808052063,0.026258617639541626,-0.0953703373670578,0.0034867790527641773,0.015958573669195175,0.03834311664104462,0.10367528349161148,0.015706924721598625,0.0277913399040699,0.08772674202919006,-0.0061892010271549225,0.06792614609003067,0.09768055379390717,-0.03556901961565018,0.014686808921396732,0.006103515625,-0.0247957706451416,0.03643091395497322,0.055313944816589355,0.005340874195098877,-0.17338064312934875,0.11139041185379028,0.0186920166015625,0.10662241280078888,-0.0156402587890625,0.023270368576049805,0.0394827201962471,0.005340367555618286,-0.007248044013977051,0.12378881871700287,-0.025558948516845703,-0.13885736465454102,-0.08351648598909378,-0.021978022530674934,0.18901099264621735,-0.13626374304294586,-0.03076923079788685,0.13626374304294586,-0.08351648598909378,-0.004395604599267244,-0.13626374304294586,0.004395604599267244,-0.004395604599267244,-0.004395604599267244,0.17142857611179352,-0.021978022530674934,-0.03076923079788685,-0.03956044092774391,-0.013186813332140446,-0.07472527772188187,-0.16540396213531494,-0.3994309902191162,-0.9017186164855957,-0.010988032445311546,-0.0003425479226280004,0.034781601279973984,6.406546592712402,-0.1597374528646469,8.754868507385254
